City_state,Individuals,latitude,longitude,
"Opa Locka, FL",8,25.902317,-80.250327,a
"Orlando, FL",38,28.538336,-81.379236,
"Palm Springs, FL",28,26.635901,-80.096154,a
"Plantation, FL",16,26.127586,-80.233104,a
"Tampa, FL",144,27.950575,-82.457178,
"Wellington, FL",8,26.661764,-80.268357,a
"West Palm Beach, FL",4,26.715342,-80.053375,a
"Athens, GA",6,33.951935,-83.357567,
"Atlanta, GA",234,33.748995,-84.387982,
"Clarkston, GA",66,33.809549,-84.239643,a
"Decatur, GA",26,33.774828,-84.296312,a
"Dunwoody, GA",2,33.946213,-84.334647,a
"Marietta, GA",6,33.952602,-84.549933,a
"Norcross, GA",4,33.941213,-84.213531,a
"Roswell, GA",8,34.023243,-84.361556,a
"Savannah, GA",28,32.083541,-81.099834,
"Snellville, GA",6,33.857328,-84.019911,a
"Stone Mountain, GA",14,33.808161,-84.170196,a
"Tucker, GA",4,33.854548,-84.217142,a
"Boise, ID",124,43.61871,-116.214607,a
"Twin Falls, ID",72,42.562967,-114.460871,a
"Aurora, IL",36,41.760585,-88.320072,a
"Batavia, IL",10,41.850028,-88.312574,a
"Bolingbrook, IL",2,41.698642,-88.068396,a
"Carol Stream, IL",14,41.912529,-88.134793,a
"Chicago, IL",166,41.878114,-87.629798,
"Des Plaines, IL",4,42.033362,-87.883399,a
"East Moline, IL",2,41.500867,-90.444298,a
"Glen Ellyn, IL",18,41.877529,-88.067012,a
"Glenview, IL",8,42.069751,-87.787841,a
"Hickory Hills, IL",2,41.725588,-87.825055,a
"Lincolnwood, IL",2,42.004476,-87.730059,a
"Moline, IL",40,41.5067,-90.515134,a
"Rock Island, IL",16,41.509477,-90.578748,a
"Rockford, IL",24,42.271131,-89.093995,
"Skokie, IL",30,42.032403,-87.741625,a
"Westchester, IL",2,41.849834,-87.880674,a
"Wheaton, IL",32,41.86614,-88.107013,a
"Woodridge, IL",2,41.746975,-88.050341,a
"Fort Wayne, IN",18,41.079273,-85.139351,
"Indianapolis, IN",278,39.768403,-86.158068,
"South Bend, IN",2,41.676355,-86.25199,
"Valparaiso, IN",2,41.473095,-87.061141,a
"Westfield, IN",8,40.042815,-86.127489,a
"Carroll, IA",4,42.065599,-94.867279,a
"Clive, IA",4,41.606087,-93.77236,a
"Des Moines, IA",74,41.600545,-93.609106,
